id,name,city,capacity,working_hours
64,Esbjörn,Moriyama,88,09:00-23:00
65,Mén,Cerna,29,08:00-22:00
66,Håkan,Nangalimang,82,09:00-23:00
67,Nuó,Valdemārpils,70,09:00-23:00
68,Lucrèce,Lavia,75,09:00-23:00
69,Gaëlle,Jieheshi,97,09:00-23:00
70,Gösta,Villa Dolores,44,09:00-23:00
71,Marie-noël,Sumberagung,53,09:00-23:00
72,Laurélie,Jinping,26,09:00-23:00
73,Léonie,Khānaqāh,79,08:00-22:00
74,Mélinda,Hotonj,62,09:00-23:00
75,Léane,Namboongan,49,08:00-22:00
76,Pò,Upper Hell's Gate,55,08:00-22:00
77,Maéna,Dongtang,80,08:00-22:00
78,Uò,Sáchica,37,08:00-22:00
79,Mélina,Canelas,82,08:00-22:00
80,Bénédicte,Recarei,51,09:00-23:00
81,Yáo,Turpay,31,08:00-22:00
82,Magdalène,Dayanggezhuang,23,08:00-22:00
83,Maëline,Khiv,77,08:00-22:00
84,Maëly,Tianzhen,53,08:00-22:00
85,Maëlla,Furong,76,08:00-22:00
86,Intéressant,Baiju,38,08:00-22:00
87,Maïté,Krasnodar,99,09:00-23:00
88,Illustrée,Sukacai Tengah,14,09:00-23:00
89,Kuí,Matoupu,40,09:00-23:00
90,Chloé,Terter,60,09:00-23:00
91,Kallisté,Owczarnia,90,09:00-23:00
92,Åsa,Kuala Lumpur,77,08:00-22:00
93,Desirée,Mapusagafou,35,08:00-22:00
94,Esbjörn,Cibinong Satu,80,08:00-22:00
95,Léandre,Jianggang,97,08:00-22:00
96,Almérinda,Gislaved,64,09:00-23:00
97,Méline,Perm,85,08:00-22:00
98,Camélia,Hidalgo,31,09:00-23:00
99,Méryl,Hanjia,69,08:00-22:00
100,Marie-noël,Klatovy,80,09:00-23:00
101,Fèi,Ampelákia,57,08:00-22:00
102,Maïwenn,Jinshandian,38,08:00-22:00
103,Andréa,Tours,10,08:00-22:00
104,Intéressant,Altay,14,08:00-22:00
105,Yóu,Pangrumasan,93,08:00-22:00
106,Angèle,Nova Venécia,89,09:00-23:00
107,Edmée,Los Cerrillos,50,08:00-22:00
108,Célestine,Casilda,88,09:00-23:00
109,Nuó,Yong’an,33,09:00-23:00
110,Anaël,Cela,38,08:00-22:00
111,Gisèle,Río de Jesús,18,08:00-22:00
112,Simplifiés,Şafwá,71,09:00-23:00
113,Estève,Plateliai,97,09:00-23:00
114,Táng,Shanguang,14,08:00-22:00
115,Salomé,Cimo de Vila,32,08:00-22:00
116,Eléonore,Etten-Leur,69,08:00-22:00
117,Maïwenn,Qujing,33,09:00-23:00
118,Méng,Baiima,61,08:00-22:00
119,Zoé,Batarasa,52,08:00-22:00
120,Mélanie,Limoncito,80,08:00-22:00
121,Liè,Calasgasan,29,09:00-23:00
122,Maëlyss,Mengeš,91,08:00-22:00
123,Nadège,Caen,38,08:00-22:00
124,Gisèle,Bedayutalang,40,08:00-22:00
125,Loïca,Zhenghu,59,08:00-22:00
126,Anaé,Mūsá Qal‘ah,77,08:00-22:00
127,Tú,Beloostrov,80,08:00-22:00
128,Åsa,Mölndal,77,09:00-23:00
129,Cléopatre,Osveya,24,09:00-23:00
130,Laurélie,Aglipay,52,08:00-22:00
131,Märta,Embu Guaçu,51,09:00-23:00
132,Håkan,Zhukovskiy,14,08:00-22:00
133,Maëlys,Keli,85,09:00-23:00
134,Yénora,Maguilling,44,09:00-23:00
135,Cléa,Sakaiminato,81,08:00-22:00
136,Eléa,Sechenovo,63,09:00-23:00
137,Athéna,Dongxiaokou,31,09:00-23:00
138,Camélia,Pedra,60,08:00-22:00
139,Lyséa,Chita,28,08:00-22:00
140,Maï,Ciharalang,16,08:00-22:00
141,Åsa,Obršani,74,08:00-22:00
142,Vérane,Dzüünbulag,42,08:00-22:00
143,Laïla,Saint Louis,71,08:00-22:00
144,Daphnée,Askersund,46,08:00-22:00
145,Åsa,Thomassique,71,08:00-22:00
146,Aurélie,Banyubang,69,08:00-22:00
147,Maëlyss,Xinyang,85,09:00-23:00
148,Anaé,Bloemfontein,59,08:00-22:00
149,Yú,Bluefields,15,08:00-22:00
150,Andrée,El Tejocote,70,09:00-23:00
151,Rébecca,Fīrūzābād,16,09:00-23:00
152,Mégane,Świdnica,68,09:00-23:00
153,Lóng,Évlalo,41,08:00-22:00
154,Laurélie,Salto,42,08:00-22:00
155,Bérénice,Largo,80,08:00-22:00
156,Cinéma,Marseille,65,08:00-22:00
157,Cunégonde,Preston,81,08:00-22:00
158,Naéva,Ciherang,73,09:00-23:00
159,Josée,Horní Suchá,17,09:00-23:00
160,Geneviève,El Soberbio,37,09:00-23:00
161,Görel,Takum,68,09:00-23:00
162,Yáo,Baishui,38,09:00-23:00
163,Aurélie,Caohe,25,09:00-23:00
164,Eliès,Polje,83,09:00-23:00
165,Alizée,Bilbays,13,09:00-23:00
166,Magdalène,Bellavista,99,09:00-23:00
167,Gisèle,Sosnovka,20,09:00-23:00
168,Annotée,Los Angeles,99,08:00-22:00
169,Eliès,Outeiro,90,08:00-22:00
170,Pò,Kraków,69,08:00-22:00
171,Åsa,Pili,70,08:00-22:00
172,Desirée,Umeå,59,09:00-23:00
173,Intéressant,Arzila,66,08:00-22:00
174,Cécilia,Qinshan,90,08:00-22:00
175,Miléna,Luleå,14,08:00-22:00
176,Cléopatre,Quanzhou,29,08:00-22:00
177,Maïté,Onokivtsi,47,09:00-23:00
178,Anaïs,Lucaya,10,08:00-22:00
179,Mà,Wyśmierzyce,54,09:00-23:00
180,Andrée,Dadiharja,78,08:00-22:00
181,Félicie,Barotac Viejo,28,09:00-23:00
182,Pål,Uralets,33,09:00-23:00
183,Håkan,Levallois-Perret,18,08:00-22:00
184,Mélodie,Kebonkaret,85,08:00-22:00
185,Maëlla,Repatriación,19,08:00-22:00
186,Françoise,Hongzhou,14,09:00-23:00
187,Simplifiés,Nūsay,44,08:00-22:00
188,Anaé,Ibirité,31,09:00-23:00
189,Marie-josée,Caper,56,08:00-22:00
190,Stéphanie,Bagumbayan,63,09:00-23:00
191,Ruì,Steinfort,43,09:00-23:00
192,Eloïse,Zhouling,21,08:00-22:00
193,Aurélie,Parrsboro,83,08:00-22:00
194,Kuí,Tigbinan,18,08:00-22:00
195,Aloïs,Sumberrejo,61,09:00-23:00
196,Naëlle,Nanxindian,23,08:00-22:00
197,Görel,Stěbořice,65,09:00-23:00
198,Maëlyss,Stockholm,21,08:00-22:00
199,Åke,Fort Worth,45,08:00-22:00
200,Cinéma,Wenfang,52,08:00-22:00
201,Léana,Mertani,87,08:00-22:00
202,Méghane,Longxi,14,08:00-22:00
203,Maïté,Jokkmokk,10,09:00-23:00
204,Séréna,San Vicente,23,08:00-22:00
205,Gösta,Erdaohe,30,09:00-23:00
206,Salomé,Mala Danylivka,52,08:00-22:00
207,Lucrèce,Oetuke,62,09:00-23:00
208,Kù,Jargalant,71,09:00-23:00
209,Börje,Babakan,37,08:00-22:00
210,Méline,Palmeiros,20,09:00-23:00
211,Salomé,Milevsko,60,08:00-22:00
212,Lyséa,San Vicente,76,08:00-22:00
213,Uò,Ecroignard,43,09:00-23:00
214,Léana,Jiyang,21,09:00-23:00
215,Maëlys,Diré,73,08:00-22:00
216,Cécilia,Một Ngàn,92,08:00-22:00
217,Personnalisée,Bachaquero,37,08:00-22:00
218,Lyséa,Johor Bahru,49,08:00-22:00
219,Séverine,Laiguangying,31,08:00-22:00
220,Marie-françoise,Hezheng Chengguanzhen,88,08:00-22:00
221,Gaétane,Jedlová,87,09:00-23:00
222,Laurélie,Ylöjärvi,15,08:00-22:00
223,Joséphine,Svoge,22,09:00-23:00
224,Lèi,Nassau,34,09:00-23:00
225,Anaël,Tartaro,51,09:00-23:00
226,Marie-josée,Cevicos,69,08:00-22:00
227,Loïs,Sanxi,23,08:00-22:00
228,Ophélie,Putina,19,09:00-23:00
229,Bérangère,Cholargós,59,08:00-22:00
230,Régine,Jatiprahu,42,09:00-23:00
231,Marie-josée,Liping,24,09:00-23:00
232,Clélia,Trashigang,37,08:00-22:00
233,Torbjörn,Bulod,82,08:00-22:00
234,Marlène,Dugu,48,08:00-22:00
235,Clémence,Santa Rosa,54,09:00-23:00
236,Lyséa,Fengping,49,09:00-23:00
237,Judicaël,Dek’emhāre,41,08:00-22:00
238,Félicie,Arjawinangun,22,09:00-23:00
239,Mylène,Lipovci,41,08:00-22:00
240,Yénora,Baiju,63,08:00-22:00
241,Marlène,Qukou,71,09:00-23:00
242,Clélia,Freiria,47,09:00-23:00
243,Véronique,Noginsk-9,27,08:00-22:00
244,Cunégonde,Sacramento,57,08:00-22:00
245,Nadège,Rennes,79,09:00-23:00
246,Salomé,Huifeng,14,08:00-22:00
247,Céline,Delcevo,76,09:00-23:00
248,Yè,Shima,10,09:00-23:00
249,Dà,Kouzhen,37,08:00-22:00
250,Eléa,Zongzhai,38,09:00-23:00
251,Ruò,Laylay,99,09:00-23:00
252,Méghane,Campo Verde,83,08:00-22:00
253,Magdalène,Chibombo,34,09:00-23:00
254,Laurélie,Chavães,56,09:00-23:00
255,Eloïse,Trollhättan,22,08:00-22:00
256,Célestine,Zhangxiang,39,08:00-22:00
257,Lorène,Le Mans,27,08:00-22:00
258,Méng,Ketara,38,08:00-22:00
259,Yáo,Nikol’skoye,74,08:00-22:00
260,Edmée,Wenfang,90,09:00-23:00
261,Maëly,Poja,47,09:00-23:00
262,Daphnée,Gimo,92,09:00-23:00
263,Maéna,Outeiro de Polima,26,09:00-23:00
264,Håkan,Shajia’ao,84,09:00-23:00
265,Séverine,Le Cannet,56,08:00-22:00
266,Annotée,Padhahegha,41,08:00-22:00
267,Maïlis,Casa Quemada,10,08:00-22:00
268,Estée,Mutangyuan,11,09:00-23:00
269,Frédérique,Caçapava,36,08:00-22:00
270,Eliès,Sungai Raya,42,09:00-23:00
271,Sélène,Emiliano Zapata,64,08:00-22:00
272,Salomé,Malumfashi,96,09:00-23:00
273,Mårten,Denov,38,08:00-22:00
274,Françoise,Salinas,90,09:00-23:00
275,Daphnée,Houston,84,08:00-22:00
276,Anaé,Quintãs,55,08:00-22:00
277,Véronique,Belawang,22,09:00-23:00
278,Célestine,Verona,60,08:00-22:00
279,Annotée,Tsivil’sk,31,09:00-23:00
280,Angèle,Inta,55,09:00-23:00
281,Clémentine,Mardīān,98,08:00-22:00
282,Hélèna,Qumudi,20,08:00-22:00
283,Bénédicte,Issoire,97,08:00-22:00
284,Yú,Cangyou,52,08:00-22:00
285,Mélissandre,Albertville,89,09:00-23:00
286,Noémie,Nanshi,36,09:00-23:00
287,Desirée,Mae Sot,54,08:00-22:00
288,Bérengère,Thị Trấn Nghèn,26,09:00-23:00
289,Anaé,Krajan Dua Putukrejo,48,09:00-23:00
290,Kuí,Cullhuas,13,09:00-23:00
291,Mélissandre,Kandava,22,09:00-23:00
292,Marie-thérèse,Mamuša,20,09:00-23:00
293,Lóng,Beisijiazi,37,09:00-23:00
294,Dà,Kanḏay,41,09:00-23:00
295,Mélia,Jiangkouxu,20,08:00-22:00
296,Fèi,Machang,47,09:00-23:00
297,Eléonore,Yingchun,76,09:00-23:00
298,Géraldine,Yangzi,23,09:00-23:00
299,Naéva,Arujá,87,08:00-22:00
300,Mén,Wlingi,92,09:00-23:00
301,Mélina,Fort-de-France,88,08:00-22:00
302,Gösta,Libertad,72,08:00-22:00
303,Béatrice,Nangger,84,08:00-22:00
304,Loïca,Al Qamşīyah,47,08:00-22:00
305,Mà,‘Anat al Qadīmah,96,09:00-23:00
306,Anaël,Votkinsk,66,08:00-22:00
307,Léandre,Götene,96,09:00-23:00
308,Vénus,Banxi,38,09:00-23:00
309,Örjan,Ojo de Agua,89,08:00-22:00
310,Styrbjörn,Skopje,16,08:00-22:00
311,Intéressant,Estrada,31,08:00-22:00
312,Uò,Timiryazevskoye,38,08:00-22:00
313,Frédérique,Bangilan,13,08:00-22:00
314,Maëly,Březová,49,08:00-22:00
315,Kallisté,Tiền Hải,68,08:00-22:00
316,Danièle,Mascouche,49,09:00-23:00
317,Aloïs,Borlänge,42,09:00-23:00
318,Pål,Sidi Qacem,31,09:00-23:00
319,Sòng,Mesquite,77,08:00-22:00
320,Valérie,El Socorro,26,08:00-22:00
321,Mà,Hässleholm,97,09:00-23:00
322,Görel,Las Ánimas,32,08:00-22:00
323,Göran,Keboireng,47,09:00-23:00
324,Maïlys,Älvdalen,59,09:00-23:00
325,Léonie,Vođinci,21,08:00-22:00
326,Naëlle,Mpanda,50,08:00-22:00
327,Cinéma,Tanjungjaya,79,08:00-22:00
328,Léane,Sheffield,51,09:00-23:00
329,Adélie,Tiztoutine,76,09:00-23:00
330,Lèi,Houjiagang,89,09:00-23:00
331,Agnès,Bengras,32,08:00-22:00
332,Annotée,Kyzyl-Kyya,63,08:00-22:00
333,Laurène,Jiyukou,68,08:00-22:00
334,Loïs,Jayaraga Kaler,28,08:00-22:00
335,Cléa,Paritaman,98,08:00-22:00
336,Bénédicte,Moanemani,11,08:00-22:00
337,Lén,Quintão,96,09:00-23:00
338,Märta,Cabra Figa,62,08:00-22:00
339,Océanne,Aozai,10,09:00-23:00
340,Noémie,Dębno,97,08:00-22:00
341,Estève,Changzhou,10,08:00-22:00
342,Gaétane,Grujugan,66,09:00-23:00
343,Rachèle,Catamayo,91,09:00-23:00
344,Crééz,Reforma,83,08:00-22:00
345,Angélique,Psary,21,08:00-22:00
346,Maëlys,Tuqiao,97,09:00-23:00
347,Océanne,Bhātpāra Abhaynagar,64,09:00-23:00
348,Séréna,Vári,19,09:00-23:00
349,Amélie,Surovikino,64,08:00-22:00
350,Örjan,Karlstad,44,08:00-22:00
351,Kévina,Erdenet,35,09:00-23:00
352,Aurélie,Santa Cruz do Bispo,94,08:00-22:00
353,Anaëlle,Ashley,74,09:00-23:00
354,Esbjörn,Shiniu,24,08:00-22:00
355,Agnès,Örebro,16,08:00-22:00
356,Mélys,Banisilan,45,08:00-22:00
357,Rébecca,Jablunkov,79,09:00-23:00
358,Garçon,Köyliö,55,08:00-22:00
359,Nadège,Seattle,59,09:00-23:00
360,Océane,Raychikhinsk,25,08:00-22:00
361,Andréa,Bang Sao Thong,45,08:00-22:00
362,Ráo,Panghadangan,99,08:00-22:00
363,Märta,Ziguinchor,65,09:00-23:00
364,Josée,Sigou,54,09:00-23:00
365,Personnalisée,Picoto,52,08:00-22:00
366,Méng,Yunxiang,39,09:00-23:00
367,Pénélope,Lidingö,63,08:00-22:00
368,Åke,Charata,94,09:00-23:00
369,Clémentine,Sandymount,23,09:00-23:00
370,Josée,Kyprínos,99,09:00-23:00
371,Gaétane,Zombo,74,08:00-22:00
372,Táng,Sedati,82,09:00-23:00
373,Méghane,Kanália,27,09:00-23:00
374,Méng,Ivanovo-Alekseyevka,89,08:00-22:00
375,Anaël,Sungaipuntik,85,09:00-23:00
376,Alizée,Kristianstad,38,09:00-23:00
377,Simplifiés,Askim,26,09:00-23:00
378,Pò,Concepción,61,09:00-23:00
379,Annotés,Vichy,91,09:00-23:00
380,Táng,Esperança,61,09:00-23:00
381,Danièle,Vũng Tàu,83,08:00-22:00
382,Noémie,Qingshanhu,95,08:00-22:00
383,Salomé,La Paz,22,08:00-22:00
384,Gisèle,Gómfoi,73,09:00-23:00
385,Audréanne,‘Ābūd,50,08:00-22:00
386,Aimée,Phủ Thông,76,08:00-22:00
387,Gösta,Tha Maka,37,08:00-22:00
388,Gwenaëlle,Ariz,68,08:00-22:00
389,Bérangère,Mabayo,19,08:00-22:00
390,Frédérique,Waldbillig,98,08:00-22:00
391,Cléa,Rabāţ-e Sangī-ye Pā’īn,28,08:00-22:00
392,Gaëlle,Chenqiao,21,09:00-23:00
393,Amélie,Jawornik Polski,91,08:00-22:00
394,Félicie,Urdaneta,55,08:00-22:00
395,Ruò,Citundun,79,08:00-22:00
396,Bérengère,Pointe-Noire,10,09:00-23:00
397,Méthode,Uhniv,80,09:00-23:00
398,Börje,Huangxi,46,09:00-23:00
399,Gaïa,Samanggen,39,08:00-22:00
400,Andrée,Atikokan,19,08:00-22:00
401,Mà,Montinho,64,09:00-23:00
402,Stéphanie,Kalimeneng,71,09:00-23:00
403,Rachèle,Xinghuo,24,09:00-23:00
404,Lucrèce,Pulo,58,09:00-23:00
405,Simplifiés,Guacarí,56,09:00-23:00
406,Régine,Dula’er Ewenke Minzu,90,09:00-23:00
407,Maïlis,Huangludian,46,08:00-22:00
408,Maëlann,Tanjung Palas,70,08:00-22:00
409,Adélaïde,Cherkasskoye,49,08:00-22:00
410,Maéna,Starigrad,20,08:00-22:00
411,Gaëlle,Colonia Catuete,64,08:00-22:00
412,Maëline,Bamban,56,08:00-22:00
413,Anaé,Ekimchan,53,08:00-22:00
414,Håkan,Na Muen,68,08:00-22:00
415,Clémence,Växjö,63,08:00-22:00
416,Anaïs,Kramarzówka,23,08:00-22:00
417,Léa,Washington,44,09:00-23:00
418,Kuí,Chorotis,38,09:00-23:00
419,Bérengère,Komatsushimachō,63,08:00-22:00
420,Marie-thérèse,Ujmisht,88,09:00-23:00
421,Aloïs,Nakasongola,11,08:00-22:00
422,Néhémie,Planovskoye,100,09:00-23:00
423,André,Évora,73,08:00-22:00
424,Ruò,Charikar,33,09:00-23:00
425,Styrbjörn,Abashiri,51,09:00-23:00
426,Andréa,Tân Hưng,93,08:00-22:00
427,Mélys,Chongwen,83,08:00-22:00
428,Pénélope,Yunmeng Chengguanzhen,83,08:00-22:00
429,Réservés,Bilbays,38,08:00-22:00
430,Laïla,San Carlos de Bariloche,10,08:00-22:00
431,Thérèse,El Cacao,89,08:00-22:00
432,Lài,Sanchahe,99,08:00-22:00
433,Håkan,Vera Cruz,65,08:00-22:00
434,Mén,El Real,95,08:00-22:00
435,Rébecca,Yanhe,39,08:00-22:00
436,Marie-hélène,Daingean,71,09:00-23:00
437,Océane,Komprachcice,62,09:00-23:00
438,Réjane,Shuanghe,75,08:00-22:00
439,Mélodie,Mriyunan,59,08:00-22:00
440,Gérald,Kurovskoye,93,09:00-23:00
441,Mélys,Sukarame,36,09:00-23:00
442,Danièle,Liantan,29,09:00-23:00
443,Eléa,Ōnojō,36,08:00-22:00
444,Eléonore,Nova Odessa,17,08:00-22:00
445,Marie-ève,Wan’an,72,09:00-23:00
446,Françoise,Lemende,17,08:00-22:00
447,Miléna,Itapetininga,13,09:00-23:00
448,Séréna,Cergy-Pontoise,64,08:00-22:00
449,Danièle,Villejuif,47,08:00-22:00
450,Stévina,Luxi,30,09:00-23:00
451,Maëly,Olyka,12,08:00-22:00
452,Méghane,Pasirhuni,67,09:00-23:00
453,Bérénice,Westport,65,08:00-22:00
454,Annotée,Loa Janan,87,09:00-23:00
455,Bénédicte,Changliu,55,08:00-22:00
456,Mélys,Normandin,53,08:00-22:00
457,Agnès,Dhaka,57,08:00-22:00
458,Loïca,Rybie,98,08:00-22:00
459,Eléa,Gostivar,86,08:00-22:00
460,Östen,Majiao,33,08:00-22:00
461,Nadège,Sharga,88,09:00-23:00
462,Nuó,Borovany,43,08:00-22:00
463,Pénélope,Talhār,55,08:00-22:00
464,Séverine,Savannakhét,43,08:00-22:00
465,Maëlyss,Palanas,88,08:00-22:00
466,Aí,Jansenville,61,09:00-23:00
467,Eliès,Dolní Kounice,71,08:00-22:00
468,Séverine,Kashima-shi,63,09:00-23:00
469,Björn,Shufeng,13,09:00-23:00
470,Renée,Salimbalan,96,08:00-22:00
471,Maïlis,Chon Daen,23,09:00-23:00
472,Anaïs,Colonia Aurora,97,08:00-22:00
473,Ruò,Presidente Epitácio,67,09:00-23:00
474,Laïla,Damu,36,09:00-23:00
475,Séverine,Limbe,88,08:00-22:00
476,Cléopatre,Dubno,78,09:00-23:00
477,Mårten,Evansville,28,08:00-22:00
478,Cécile,Golubinci,49,09:00-23:00
479,Régine,Houston,25,09:00-23:00
480,Séverine,Moncada,73,08:00-22:00
481,Chloé,Serawai,43,08:00-22:00
482,Rébecca,Amurzet,23,08:00-22:00
483,Stéphanie,Szeged,39,08:00-22:00
484,Aurélie,Lipnica,34,08:00-22:00
485,Uò,Guohuan,50,08:00-22:00
486,Cécilia,Gradac,16,08:00-22:00
487,Nadège,Huité,61,09:00-23:00
488,Océane,Loučeň,39,08:00-22:00
489,Anaël,Biito,76,09:00-23:00
490,Maï,Bingfang,96,09:00-23:00
491,Adélaïde,Sémbé,82,08:00-22:00
492,Cécilia,Yong’an,34,08:00-22:00
493,Naéva,Kwikila,48,08:00-22:00
494,Léa,Warungtanjung,56,08:00-22:00
495,Réjane,Chixi,97,09:00-23:00
496,Andrée,Turkestan,14,08:00-22:00
497,Märta,Saint Ann’s Bay,67,09:00-23:00
498,Marie-noël,Dao,35,09:00-23:00
499,Chloé,Boavista,92,09:00-23:00
500,Erwéi,Aginskoye,82,09:00-23:00
